,value_factor,rho,p_val,no_items,no_pos,no_prop,p_bonferonni
99,1.0016220482406113,0.9692307692307693,1.1465229425475097e-08,16.0,14.0,4.0,1.1465229425475098e-05
100,0.9957644412065852,0.9151515151515152,0.0002044724061488323,12.0,10.0,2.0,0.20447240614883228
101,1.0111583840839837,0.87203302373581,2.4017641453772196e-06,21.0,18.0,4.0,0.0024017641453772196
102,1.0008773823029757,0.9835164835164836,1.611214573209521e-09,16.0,13.0,3.0,1.611214573209521e-06
103,0.9806964485361735,0.7727272727272727,0.005299487178643863,14.0,11.0,4.0,5.299487178643863
104,1.0070157974102016,0.8678571428571429,2.7518063955129248e-05,20.0,15.0,3.0,0.02751806395512925
105,0.9836576101254868,0.37762237762237766,0.22620604493502663,16.0,12.0,4.0,226.20604493502663
106,1.0002671741123426,0.9975490196078433,9.580348013919738e-19,19.0,17.0,2.0,9.580348013919737e-16
107,1.0021215881024805,0.6294117647058822,0.008988089264446917,24.0,16.0,3.0,8.988089264446916
108,0.9902498963014418,0.7939393939393938,0.0060999233136969115,11.0,10.0,2.0,6.0999233136969115
109,0.9980104270074226,0.9636363636363635,7.320974809529922e-06,12.0,10.0,3.0,0.0073209748095299215
110,0.9993682744588279,0.9545454545454546,4.988898739949763e-06,12.0,11.0,4.0,0.004988898739949763
111,1.0,1.0,0.0,15.0,12.0,2.0,0.0
112,1.000834835686867,0.9647058823529412,1.6662077463303436e-09,17.0,16.0,4.0,1.6662077463303437e-06
113,1.0090546123791448,0.9470588235294116,2.715731165956679e-08,22.0,16.0,3.0,2.715731165956679e-05
114,0.9595707217669965,0.6848484848484848,0.02888279750673276,14.0,10.0,4.0,28.88279750673276
115,1.0005198793139054,0.9970588235294118,5.0655883449921147e-17,19.0,16.0,2.0,5.065588344992115e-14
116,0.9941417797075793,0.9515151515151514,2.279854920641689e-05,15.0,10.0,4.0,0.022798549206416892
117,1.0,1.0,0.0,16.0,12.0,2.0,0.0
118,0.9965434747634869,0.9757575757575757,1.4675461874042197e-06,13.0,10.0,4.0,0.0014675461874042197
119,1.0130263049521233,0.9571428571428571,2.2736751556259742e-08,16.0,15.0,3.0,2.273675155625974e-05
120,1.0054864647839947,0.8147058823529412,0.00012130950572235612,24.0,16.0,3.0,0.12130950572235612
121,1.0015746118316966,0.9230769230769231,1.8621951098680987e-05,15.0,12.0,2.0,0.018621951098680988
122,1.0061976997774946,0.9684210526315788,1.09055586677185e-11,22.0,19.0,3.0,1.0905558667718501e-08
123,0.9951867546380792,0.7939393939393938,0.0060999233136969115,13.0,10.0,2.0,6.0999233136969115
124,0.940395739485928,0.621978021978022,0.017550315290540047,16.0,14.0,3.0,17.55031529054005
125,1.0058953908874184,0.9636363636363637,1.852039864070312e-06,13.0,11.0,3.0,0.001852039864070312
126,1.0112058119175502,0.9515151515151514,2.279854920641689e-05,11.0,10.0,2.0,0.022798549206416892
127,1.002015733617727,0.8529411764705882,2.6790740577247285e-05,22.0,16.0,2.0,0.026790740577247285
128,0.9949364307052291,0.9370629370629372,6.99316495321054e-06,17.0,12.0,4.0,0.00699316495321054
129,1.002994178962428,0.75,0.0008197640272555872,20.0,16.0,3.0,0.8197640272555872
130,0.9958576927191751,0.8593406593406594,8.200994666805756e-05,18.0,14.0,4.0,0.08200994666805757
131,1.000043818801253,0.9970588235294118,5.0655883449921147e-17,21.0,16.0,2.0,5.065588344992115e-14
132,1.0020369231869375,0.9632352941176472,5.740995055041279e-10,25.0,17.0,4.0,5.740995055041279e-07
133,1.0061133385199335,0.8607142857142854,3.8055250226647814e-05,23.0,15.0,3.0,0.03805525022664781
134,1.0034821381085186,0.9505494505494506,6.363704773478595e-07,16.0,13.0,4.0,0.0006363704773478595
135,0.993280492732137,0.5454545454545455,0.08265095734417506,14.0,11.0,2.0,82.65095734417505
136,1.0,0.9999999999999999,6.646897422032013e-64,15.0,10.0,2.0,6.646897422032013e-61
137,1.0039714900746917,0.7890109890109891,0.0007946144116544928,19.0,14.0,4.0,0.7946144116544929
138,1.0032806360894952,0.9676470588235294,9.132894807195552e-10,18.0,16.0,4.0,9.132894807195552e-07
139,1.0041556658991337,0.9076923076923077,7.3017039968523426e-06,18.0,14.0,4.0,0.0073017039968523425
140,1.0047273716089837,0.9525283797729618,1.1169590316176146e-09,25.0,18.0,3.0,1.1169590316176147e-06
141,1.0011015239409764,0.9956043956043955,1.0315953358848785e-13,19.0,14.0,2.0,1.0315953358848785e-10
142,1.0008418922702567,0.9515151515151514,2.279854920641689e-05,14.0,10.0,3.0,0.022798549206416892
143,1.0008006075544102,0.989010989010989,1.7507283021964818e-10,16.0,13.0,3.0,1.7507283021964818e-07
144,0.9754481222506636,0.6,0.06668799999999996,15.0,10.0,3.0,66.68799999999996
145,1.0054447484124323,0.967032967032967,7.064113887175154e-08,19.0,13.0,2.0,7.064113887175154e-05
146,1.0008558413164599,0.9727272727272729,5.14217704904919e-07,14.0,11.0,2.0,0.000514217704904919
147,1.0000170696827908,0.9975490196078433,9.580348013919738e-19,23.0,17.0,3.0,9.580348013919737e-16
148,1.003694222927321,0.9525283797729618,1.1169590316176146e-09,26.0,18.0,3.0,1.1169590316176147e-06
149,1.0,1.0,0.0,17.0,14.0,2.0,0.0
150,1.0025874755583575,0.9736263736263736,4.5902787925115095e-09,18.0,14.0,2.0,4.59027879251151e-06
151,0.990159726103323,0.9454545454545454,1.118303770149319e-05,13.0,11.0,4.0,0.01118303770149319
152,1.020843940512121,0.782142857142857,0.0005697096277734958,21.0,15.0,4.0,0.5697096277734958
153,0.9955727221263865,0.7692307692307694,0.0034464502618274493,16.0,12.0,2.0,3.446450261827449
154,1.001639728845886,0.8153846153846154,0.00037913223820058216,16.0,14.0,2.0,0.3791322382005822
155,0.9986486545384718,0.6964285714285713,0.003921190506879554,21.0,15.0,3.0,3.9211905068795536
156,0.9967086888456441,0.988235294117647,8.108881053980581e-13,19.0,16.0,3.0,8.108881053980581e-10
157,0.984861026171809,0.7527472527472527,0.0029822333891698486,16.0,13.0,4.0,2.9822333891698487
158,0.9749279736805642,0.5393939393939393,0.1075931877824148,11.0,10.0,3.0,107.5931877824148
159,1.0,1.0,0.0,17.0,13.0,2.0,0.0
160,1.0016226600353408,0.9857142857142854,1.92909487460678e-11,17.0,15.0,4.0,1.9290948746067798e-08
161,1.0053976453874802,0.9300699300699302,1.170222792865967e-05,18.0,12.0,4.0,0.011702227928659669
162,1.0,1.0,0.0,16.0,15.0,2.0,0.0
163,1.0174789619837967,0.9473684210526316,7.800829220458973e-10,25.0,19.0,2.0,7.800829220458973e-07
164,1.0036306488602518,0.9818181818181818,8.403066433955246e-08,13.0,11.0,3.0,8.403066433955245e-05
165,1.00051201755176,0.9912087912087912,6.540154944134387e-12,20.0,14.0,2.0,6.540154944134387e-09
166,1.0067553514786773,0.9393939393939393,5.484052998513666e-05,15.0,10.0,3.0,0.05484052998513666
167,0.9997308582721071,0.9725274725274725,2.6191330438273957e-08,19.0,13.0,3.0,2.6191330438273956e-05
168,1.0004787164758837,0.881818181818182,0.0003301688021839005,17.0,11.0,2.0,0.3301688021839005
169,1.013425766742054,0.6678571428571428,0.006509956694715437,20.0,15.0,4.0,6.509956694715437
170,1.015709735383165,0.2,0.49300373503999984,15.0,14.0,2.0,493.0037350399998
171,0.9896527049149654,0.5734265734265735,0.051265589786491435,16.0,12.0,4.0,51.26558978649143
172,1.0028943431501702,0.9835164835164836,1.611214573209521e-09,14.0,13.0,3.0,1.611214573209521e-06
173,1.0084388415144983,0.9855521155830752,9.124170334062525e-14,19.0,18.0,4.0,9.124170334062525e-11
174,1.0020793998014337,0.9735294117647059,2.276897655666222e-10,21.0,16.0,3.0,2.2768976556662218e-07
175,1.0010823258728099,0.9780219780219779,7.757814031393615e-09,20.0,13.0,2.0,7.757814031393615e-06
176,1.0049679355468486,0.987719298245614,3.79790243650229e-15,25.0,19.0,2.0,3.7979024365022905e-12
177,0.9850578057066461,0.7852941176470588,0.00031285391788601143,18.0,16.0,4.0,0.3128539178860114
178,1.0,1.0,0.0,17.0,14.0,2.0,0.0
179,1.0101344831464192,0.6607142857142856,0.007330569830891703,17.0,15.0,2.0,7.330569830891703
180,1.0190765219259097,0.8761609907120743,1.8727785396152314e-06,24.0,18.0,4.0,0.0018727785396152315
181,0.9985852339742551,0.8909090909090909,0.0005421442248338665,15.0,10.0,2.0,0.5421442248338665
182,0.9977607769856633,0.9151515151515152,0.0002044724061488323,13.0,10.0,4.0,0.20447240614883228
183,0.9989859059726044,0.990909090909091,3.762571807085399e-09,12.0,11.0,4.0,3.762571807085399e-06
184,1.001737706822641,0.7818181818181817,0.007547007781067878,14.0,10.0,4.0,7.547007781067878
185,1.0039257998452558,0.9642857142857141,7.072303009204256e-09,20.0,15.0,3.0,7.0723030092042555e-06
186,1.0012348618667966,0.9842105263157893,3.177817784867256e-14,21.0,19.0,4.0,3.1778177848672555e-11
187,1.0115600952194825,0.9515151515151514,2.279854920641689e-05,15.0,10.0,4.0,0.022798549206416892
188,0.9731680656366096,0.5636363636363637,0.07095173447637536,13.0,11.0,3.0,70.95173447637536
189,1.0019417512692215,0.9727272727272729,5.14217704904919e-07,12.0,11.0,2.0,0.000514217704904919
190,0.991422452604831,0.9615384615384615,1.631768081069998e-07,15.0,13.0,3.0,0.00016317680810699978
191,0.980853057263115,0.5272727272727273,0.09556521835315422,12.0,11.0,4.0,95.56521835315422
192,1.0006077933854203,0.9892857142857142,2.9989342571550623e-12,19.0,15.0,2.0,2.9989342571550625e-09
193,1.0014192373622088,0.9947368421052631,2.8973718112997517e-18,25.0,19.0,2.0,2.8973718112997517e-15
194,0.9959638210042959,0.9678571428571429,3.5965355409315713e-09,18.0,15.0,3.0,3.5965355409315715e-06
195,0.9989403113344633,0.9878787878787878,9.307459988955517e-08,13.0,10.0,3.0,9.307459988955517e-05
196,1.0003421708617946,0.9979360165118679,1.6451231715312417e-20,25.0,18.0,3.0,1.6451231715312417e-17
197,0.9982953831727941,0.9636363636363635,7.320974809529922e-06,14.0,10.0,3.0,0.0073209748095299215
198,1.003367803089814,0.9436274509803922,1.3377378706310767e-08,20.0,17.0,3.0,1.3377378706310768e-05
199,1.0,1.0,0.0,19.0,14.0,3.0,0.0
200,0.999541432131566,0.988235294117647,8.108881053980581e-13,21.0,16.0,4.0,8.108881053980581e-10
201,1.0,0.9999999999999999,6.646897422032013e-64,12.0,10.0,2.0,6.646897422032013e-61
202,1.0126380506797232,0.9757575757575757,1.4675461874042197e-06,15.0,10.0,2.0,0.0014675461874042197
203,0.9994966991844851,0.8259803921568629,4.407027914063439e-05,23.0,17.0,4.0,0.04407027914063439
204,1.0041784197406265,0.9422084623323013,5.214680253289597e-09,26.0,18.0,4.0,5.214680253289597e-06
205,1.0,0.9999999999999999,6.646897422032013e-64,13.0,10.0,2.0,6.646897422032013e-61
206,1.0123306632138356,0.48774509803921573,0.04702109699673036,26.0,17.0,3.0,47.021096996730364
207,1.0012686998272862,0.9928571428571428,2.1681214863293047e-13,17.0,15.0,2.0,2.1681214863293048e-10
208,1.0004973511261712,0.9941176470588234,6.4339974884469385e-15,24.0,16.0,2.0,6.4339974884469384e-12
209,1.0,1.0,0.0,16.0,14.0,2.0,0.0
210,1.0000557687548794,0.9964285714285712,2.4159793199703443e-15,23.0,15.0,2.0,2.4159793199703444e-12
211,0.999890265339708,0.9860139860139862,4.1168959116543284e-09,13.0,12.0,4.0,4.116895911654328e-06
212,0.997342597143486,0.9252747252747253,2.1365703496108153e-06,15.0,14.0,4.0,0.002136570349610815
213,0.9970620627561648,0.8431372549019609,2.1328100245193365e-05,18.0,17.0,4.0,0.021328100245193365
214,0.9455407649142309,0.5151515151515151,0.12755286970323423,12.0,10.0,3.0,127.55286970323424
215,0.9849392852583028,0.8424242424242423,0.002220031225916841,14.0,10.0,3.0,2.2200312259168413
216,1.0116978979888007,0.9264705882352942,2.5613970650477537e-07,20.0,16.0,4.0,0.0002561397065047754
217,0.9855717147654166,0.8909090909090909,0.0005421442248338665,13.0,10.0,3.0,0.5421442248338665
218,1.0083562448218597,0.9789473684210527,3.6006418847130656e-13,22.0,19.0,2.0,3.600641884713066e-10
219,1.0024233308607051,0.9794117647058824,3.982009789755264e-11,20.0,16.0,4.0,3.9820097897552636e-08
220,1.005374444119671,0.9711042311661506,2.2322196490619925e-11,19.0,18.0,3.0,2.2322196490619925e-08
221,1.0052760505530498,0.965034965034965,3.88098529962746e-07,17.0,12.0,2.0,0.000388098529962746
222,0.9968971305044544,0.9580419580419581,9.5435818268384e-07,13.0,12.0,4.0,0.00095435818268384
223,1.0059351546480364,0.988235294117647,8.108881053980581e-13,20.0,16.0,2.0,8.108881053980581e-10
224,1.0011042613993268,0.9878787878787878,9.307459988955517e-08,12.0,10.0,4.0,9.307459988955517e-05
225,0.9974212953074238,0.9032967032967033,9.558659401055547e-06,15.0,14.0,4.0,0.009558659401055547
226,0.9127240144048272,0.27272727272727276,0.41714143714253127,15.0,11.0,4.0,417.1414371425313
227,0.9865210495559789,0.9294117647058824,1.940118948103668e-07,17.0,16.0,4.0,0.00019401189481036682
228,1.0118458549312728,0.8921568627450982,1.4893515661379568e-06,19.0,17.0,4.0,0.001489351566137957
229,1.0238913132980059,0.4835164835164835,0.0941346925969393,16.0,13.0,4.0,94.13469259693929
230,1.009686729273252,0.9428571428571428,4.4409928509609024e-07,17.0,14.0,3.0,0.00044409928509609023
231,1.0039850472327243,0.982142857142857,8.15733350897873e-11,20.0,15.0,3.0,8.15733350897873e-08
232,0.9992773136665907,0.9735294117647059,2.276897655666222e-10,21.0,16.0,4.0,2.2768976556662218e-07
233,0.9962558760169486,0.9648351648351648,2.5304057544450237e-08,16.0,14.0,3.0,2.5304057544450237e-05
234,1.0021042437112282,0.7684210526315789,0.00012145768964752966,25.0,19.0,3.0,0.12145768964752966
235,1.008298111286009,0.7990196078431374,0.00011939706384386553,25.0,17.0,2.0,0.11939706384386553
236,1.0,1.0,0.0,14.0,12.0,2.0,0.0
237,1.0052227650530554,0.9385964912280702,2.8060642945152663e-09,27.0,19.0,4.0,2.8060642945152662e-06
238,0.9954497957194816,0.9604395604395607,5.081053892329076e-08,15.0,14.0,3.0,5.0810538923290756e-05
239,0.9980070472939357,0.7475490196078433,0.0005612381524319418,22.0,17.0,3.0,0.5612381524319418
240,1.0003136942945148,0.9877450980392157,1.6270834281737186e-13,23.0,17.0,2.0,1.6270834281737186e-10
241,1.0066612629491187,0.9249999999999998,7.987462113818468e-07,17.0,15.0,4.0,0.0007987462113818468
242,0.9982049411886221,0.7967032967032966,0.0011136526522685867,19.0,13.0,4.0,1.1136526522685868
243,1.0030726040961342,0.9868131868131869,7.379504109330886e-11,16.0,14.0,3.0,7.379504109330887e-08
244,1.0061347009198425,0.915376676986584,1.0113271116055492e-07,22.0,18.0,3.0,0.00010113271116055492
245,1.008202675023532,0.9628482972136224,1.62399434830459e-10,22.0,18.0,2.0,1.62399434830459e-07
246,1.0087044560783924,0.8928571428571428,7.4947360645682566e-06,20.0,15.0,4.0,0.007494736064568256
247,1.0083725145583176,0.9632352941176472,5.740995055041279e-10,20.0,17.0,3.0,5.740995055041279e-07
248,0.9964856796567642,0.990909090909091,3.762571807085399e-09,12.0,11.0,3.0,3.762571807085399e-06
249,1.0026238707989519,0.9803921568627453,5.40869606994842e-12,22.0,17.0,2.0,5.40869606994842e-09
250,1.0,1.0,0.0,13.0,12.0,2.0,0.0
251,1.0003827676983674,0.9947368421052631,2.8973718112997517e-18,29.0,19.0,2.0,2.8973718112997517e-15
252,1.0014087501175504,0.985294117647059,6.341615043472023e-13,25.0,17.0,2.0,6.341615043472023e-10
253,0.9860956860528137,0.8228070175438595,1.5232584971698892e-05,23.0,19.0,4.0,0.015232584971698892
254,1.0124082441273137,0.717234262125903,0.000807070648534508,22.0,18.0,4.0,0.807070648534508
255,1.0010197208622431,0.948529411764706,6.859595261700981e-09,21.0,17.0,4.0,6.859595261700981e-06
256,1.0054399914019583,0.9350877192982456,4.446148370750682e-09,20.0,19.0,3.0,4.446148370750682e-06
257,0.9966488252903487,0.9878787878787878,9.307459988955517e-08,15.0,10.0,3.0,9.307459988955517e-05
258,1.0204332621633903,0.5235294117647059,0.03741264813014936,23.0,16.0,3.0,37.412648130149364
259,0.9997839072111141,0.9912087912087912,6.540154944134387e-12,20.0,14.0,3.0,6.540154944134387e-09
260,1.005770284612773,0.9578947368421052,1.2135311926058017e-10,26.0,19.0,2.0,1.2135311926058015e-07
261,1.0017999993685585,0.975438596491228,1.3190643557743196e-12,22.0,19.0,4.0,1.3190643557743195e-09
262,0.9981743272766783,0.9818181818181818,8.403066433955246e-08,13.0,11.0,3.0,8.403066433955245e-05
263,1.0013921629393152,0.989010989010989,1.7507283021964818e-10,20.0,13.0,3.0,1.7507283021964818e-07
264,1.0027321815439911,0.9928571428571428,2.1681214863293047e-13,19.0,15.0,3.0,2.1681214863293048e-10
265,1.0004506128256085,0.9711042311661506,2.2322196490619925e-11,22.0,18.0,2.0,2.2322196490619925e-08
266,1.0005894097975387,0.9834881320949431,2.6382891204281573e-13,19.0,18.0,2.0,2.6382891204281575e-10
267,1.0212819437731564,0.7696078431372549,0.0003032101451624915,25.0,17.0,2.0,0.3032101451624915
268,0.9878300390621869,0.5272727272727272,0.11730806555020223,15.0,10.0,3.0,117.30806555020223
269,1.0000385804647256,0.9878787878787878,9.307459988955517e-08,12.0,10.0,2.0,9.307459988955517e-05
