,time,value,bound,no_items,no_pos,no_prop
0,0.0027392230040277354,10.615661764413487,1.5,37.0,28.0,8.0
1,0.00682448939915048,27.501193925240607,1.5,73.0,71.0,4.0
2,0.004514434140219237,18.833381111341616,1.5,60.0,54.0,10.0
3,0.010740977688328712,28.83300920055532,1.5,100.0,81.0,13.0
4,0.001615556171600474,6.578406485114082,1.5,21.0,20.0,14.0
5,0.007902920659034862,13.05548117489925,1.5,56.0,44.0,7.0
6,0.006428773169318447,23.654284665451247,1.5,70.0,69.0,8.0
7,0.001454760815249756,8.26761626583133,1.5,23.0,20.0,10.0
8,0.006053203875126201,23.77512336667415,1.5,81.0,71.0,11.0
9,0.009399115739142871,30.88332698871648,1.5,93.0,87.0,16.0
10,0.0029600790367112495,7.953075375236046,1.5,19.0,18.0,12.0
11,0.01339619177269924,33.36768999337744,1.5,132.0,97.0,12.0
12,0.006775452517103986,23.42739556377384,1.5,78.0,66.0,18.0
13,0.0023891224791441346,10.660568372908244,1.5,38.0,30.0,18.0
14,0.004058277101648855,23.792007091497755,1.5,78.0,62.0,2.0
15,0.0038138529562274925,19.83122523879109,1.5,62.0,44.0,11.0
16,0.011081955073677818,32.262708552379614,1.5,129.0,93.0,17.0
17,0.003813852958046482,19.518871288615184,1.5,70.0,59.0,3.0
18,0.0003611243191699032,1.3888284046677695,1.5,6.0,4.0,19.0
19,0.0016691546243237099,9.536534210192503,1.5,35.0,25.0,8.0
20,0.007784699961121078,26.308026385358854,1.5,92.0,72.0,15.0
21,0.010836010404091212,35.0844065387408,1.5,113.0,85.0,15.0
22,0.0045129136142350035,18.291923103885157,1.5,63.0,45.0,11.0
23,0.007647852848094772,22.03615700619314,1.5,63.0,54.0,13.0
24,0.005788252663478488,24.57261764139043,1.5,75.0,62.0,8.0
25,0.009479703481702018,25.939071854562656,1.5,83.0,81.0,14.0
26,0.010204232909018174,29.35482819001276,1.5,105.0,85.0,7.0
27,0.0025970540609705495,10.953178552460976,1.5,35.0,31.0,15.0
28,0.00306385476324067,13.228456799578169,1.5,41.0,36.0,6.0
29,0.0002824372331815539,2.0705224090517595,1.5,4.0,3.0,2.0
30,0.0042707702559710015,16.79207367594138,1.5,54.0,49.0,6.0
31,0.001104660290366155,3.288746502967778,1.5,14.0,13.0,6.0
32,0.0003588435356505215,1.1727667460498938,1.5,5.0,3.0,12.0
33,0.012502504110670998,33.9060162481512,1.5,129.0,92.0,18.0
34,0.002834255719790235,10.542941123174915,1.5,41.0,32.0,19.0
35,0.005420285988293472,25.658019764823724,1.5,84.0,69.0,4.0
36,0.008395950389967766,21.43442978526125,1.5,78.0,63.0,15.0
37,0.0017151504580397159,8.114509176364894,1.5,25.0,21.0,10.0
38,0.00958157855347963,21.110353258279677,1.5,69.0,53.0,17.0
39,0.009994400672439951,37.996017996101116,1.5,129.0,97.0,9.0
40,0.008429021774645662,18.06366717791864,1.5,65.0,46.0,12.0
41,0.00670892961534264,23.5369532517699,1.5,84.0,61.0,7.0
42,0.012933192379932734,30.052010919379374,1.5,114.0,92.0,14.0
43,0.009919895022903802,22.035398122845315,1.5,75.0,65.0,17.0
44,0.011421031804275117,34.94479427063341,1.5,135.0,92.0,12.0
45,0.007469191345080617,35.077073098098786,1.5,131.0,90.0,4.0
46,0.005635820187308127,22.06034482638486,1.5,71.0,70.0,2.0
47,0.0012209803353471216,6.1268767973565765,1.5,19.0,16.0,17.0
48,0.007375679151664372,21.490787525434524,1.5,71.0,68.0,19.0
49,0.0012779999651684193,5.915154673596735,1.5,26.0,18.0,3.0
50,0.007879352546297014,28.04923998633603,1.5,98.0,68.0,19.0
51,0.0004219452603138052,1.7952100473310604,1.5,6.0,5.0,7.0
52,0.005950568542175461,23.429583926334818,1.5,85.0,63.0,4.0
53,0.005636580448481254,32.29702384500521,1.5,107.0,88.0,2.0
54,0.0009434848034288734,3.8546671414598173,1.5,14.0,11.0,12.0
55,0.006730216944561107,22.547449932553533,1.5,82.0,66.0,17.0
56,0.013716261959416443,34.7418037165935,1.5,133.0,95.0,11.0
57,0.010472985430169501,37.7592967231622,1.5,127.0,92.0,16.0
58,0.0026054169411509065,12.577832200822737,1.5,42.0,31.0,8.0
59,0.004025585847557522,17.97963206151837,1.5,61.0,43.0,17.0
60,0.0011251873565925052,5.497736873946813,1.5,20.0,16.0,14.0
61,0.0018185460521635832,8.243509676527653,1.5,26.0,21.0,12.0
62,0.004397353834065143,18.086996052499252,1.5,60.0,47.0,10.0
63,0.006578544729563873,22.295464048530675,1.5,87.0,63.0,4.0
64,0.00906079927153769,29.207623500085138,1.5,105.0,70.0,19.0
65,0.0027738149128708756,11.022493811429836,1.5,37.0,31.0,17.0
66,0.0038868380834173877,15.58742483762194,1.5,49.0,45.0,14.0
67,0.007656215730094118,26.712490499088172,1.5,99.0,76.0,7.0
68,0.0072810265664884355,27.433658284361464,1.5,94.0,70.0,7.0
69,0.00464443889541144,15.412324286863678,1.5,54.0,40.0,10.0
70,0.009475522043430828,32.91450929890751,1.5,127.0,89.0,15.0
71,0.0020207756733725546,6.705605861262043,1.5,31.0,21.0,12.0
72,0.0017067875778593589,7.937939875887371,1.5,28.0,21.0,16.0
73,0.0015387697367259534,7.032185104642823,1.5,23.0,17.0,16.0
74,0.01442900732945418,39.09014141070593,1.5,138.0,99.0,7.0
75,0.0025381337782164337,4.77482956231791,1.5,25.0,17.0,15.0
76,0.012908864006021759,34.59128291194036,1.5,118.0,87.0,15.0
77,0.0009548887301207287,2.53389484518608,1.5,14.0,9.0,10.0
78,0.003371000500919763,10.039327890857267,1.5,38.0,26.0,10.0
79,0.0012251617736183107,7.129565138098207,1.5,22.0,16.0,9.0
80,0.010747820044343825,32.10674379616137,1.5,123.0,92.0,12.0
81,0.006949932583665941,36.075573692841544,1.5,125.0,85.0,7.0
82,0.0029403122316580266,10.365596257299863,1.5,40.0,36.0,10.0
83,0.00028471801851992495,1.3165778500975236,1.5,4.0,3.0,3.0
84,0.0088977231298486,24.398987367088406,1.5,91.0,66.0,18.0
85,0.0013357798543438548,5.33892025246838,1.5,20.0,16.0,18.0
86,0.0014505793769785669,5.94159220924343,1.5,28.0,20.0,14.0
87,0.003551182529918151,15.528968864632867,1.5,49.0,48.0,16.0
88,0.006706648831823259,29.849265426097638,1.5,113.0,79.0,5.0
89,0.0037385870455182157,7.734441937444398,1.5,26.0,24.0,14.0
90,0.007937512567878002,21.522857590203753,1.5,70.0,60.0,15.0
91,0.007622764213010669,33.13719861664918,1.5,96.0,88.0,11.0
92,0.0058179028710583225,25.36297618961859,1.5,76.0,73.0,6.0
93,0.009222735017829109,34.6328497872543,1.5,115.0,88.0,8.0
94,0.007460448332494707,28.956821874954205,1.5,95.0,80.0,11.0
95,0.0015676596831326606,4.310444981954374,1.5,22.0,15.0,19.0
96,0.007875551236793399,13.037151091229006,1.5,63.0,48.0,12.0
97,0.0029752842729067197,10.52816898952989,1.5,43.0,31.0,18.0
98,0.0018607405781949637,6.214328328755935,1.5,26.0,23.0,19.0
99,0.012722219751594821,32.72097035953688,1.5,101.0,94.0,8.0
100,0.006107562590841553,23.081207558678567,1.5,79.0,69.0,11.0
101,0.003038766124518588,15.546849510665535,1.5,57.0,43.0,3.0
102,0.012369078178380732,28.881500515540314,1.5,118.0,89.0,19.0
103,0.0004979714321962092,1.4483433835079458,1.5,7.0,5.0,3.0
104,0.012225768841744866,35.66067737295979,1.5,108.0,99.0,11.0
105,0.007549018824647646,22.387510942639505,1.5,72.0,63.0,8.0
106,0.005760503110650461,20.267559753384738,1.5,64.0,56.0,16.0
107,0.002316137353773229,9.137940690654439,1.5,34.0,29.0,5.0
108,0.004008860090834787,13.268793302464223,1.5,48.0,38.0,7.0
109,0.0033105596940004034,10.67083770428111,1.5,45.0,31.0,5.0
110,0.0019823824550257996,8.609296793397863,1.5,31.0,21.0,9.0
111,0.008745670784264803,34.923277792541946,1.5,103.0,94.0,8.0
112,0.012128835473049548,35.73707618035241,1.5,106.0,94.0,13.0
113,0.002296370548720006,7.638967698032337,1.5,26.0,24.0,7.0
114,0.0009130743364949012,3.395944489999869,1.5,13.0,12.0,4.0
115,0.011765810499127838,27.368090675376525,1.5,95.0,92.0,15.0
116,0.0006899375184730161,2.5362247262750848,1.5,13.0,9.0,12.0
117,0.011654432153591188,30.717680247170172,1.5,100.0,94.0,18.0
118,0.011929646900171065,36.989070484316265,1.5,129.0,87.0,16.0
119,0.007992251412360929,30.324127924932604,1.5,106.0,75.0,10.0
120,0.0063991229617386125,25.35793954429623,1.5,88.0,64.0,6.0
121,0.005360985573133803,18.612952828719322,1.5,51.0,47.0,9.0
122,0.002352629915549187,12.03657594688582,1.5,40.0,31.0,2.0
123,0.012764414277626202,34.91537797468594,1.5,130.0,95.0,17.0
124,0.007401528049740591,24.449915414332107,1.5,87.0,80.0,3.0
125,0.0033960891378228553,12.20850782010935,1.5,47.0,42.0,7.0
126,0.002238590657725581,10.487941317570597,1.5,32.0,29.0,12.0
127,0.008865792136930395,35.23359981982332,1.5,132.0,92.0,5.0
128,0.0033021968138200464,13.802847113741073,1.5,41.0,32.0,19.0
129,0.003388106388229062,14.05926268937594,1.5,41.0,39.0,10.0
130,0.007736803470834275,23.241207565851468,1.5,75.0,73.0,11.0
131,0.0022933295022085076,9.411902383592551,1.5,35.0,27.0,5.0
132,0.013126298859788221,32.41970741057893,1.5,116.0,91.0,14.0
133,0.0010126686211151537,3.4086623288988855,1.5,13.0,10.0,2.0
134,0.009879221021037665,37.4517493126603,1.5,129.0,89.0,7.0
135,0.0056434228044963675,22.218636984308084,1.5,81.0,68.0,4.0
136,0.003120114130069851,13.213354680091774,1.5,41.0,36.0,19.0
137,0.004428144431585679,16.45931862936279,1.5,55.0,43.0,16.0
138,0.004642538240659633,13.336006421455679,1.5,50.0,44.0,14.0
139,0.00203750143009529,7.068399477438194,1.5,27.0,19.0,9.0
140,0.004561950496281497,10.77179999935523,1.5,39.0,30.0,16.0
141,0.0026806828518601833,11.444293457247666,1.5,36.0,26.0,14.0
142,0.0029311890903045423,6.757771649667607,1.5,26.0,21.0,19.0
143,0.0018238678840134526,5.639810368292799,1.5,19.0,18.0,2.0
144,0.006572462634721887,13.880446656883825,1.5,45.0,35.0,18.0
145,0.01451643742802844,28.001497229682624,1.5,90.0,77.0,3.0
146,0.003561826195436879,7.915119930726624,1.5,30.0,29.0,2.0
147,0.014906071564837475,30.213389732321335,1.5,113.0,84.0,12.0
148,0.009605526798623032,20.694626699230724,1.5,64.0,53.0,17.0
149,0.0041365840606886195,12.997217700581364,1.5,54.0,39.0,8.0
150,0.005913315717407386,21.674719079310062,1.5,74.0,52.0,7.0
151,0.012974246514204424,29.033323748879358,1.5,89.0,76.0,13.0
152,0.003708176576765254,16.47622208363814,1.5,65.0,44.0,7.0
153,0.008861610698659206,34.75336905856044,1.5,125.0,92.0,16.0
154,0.005664330001309281,25.814449082732338,1.5,92.0,68.0,10.0
155,0.006554216353833908,31.895889034469327,1.5,106.0,94.0,3.0
156,0.018854490846933913,37.41421882969072,1.5,136.0,97.0,19.0
157,0.0006610475720663089,2.99465069934959,1.5,10.0,8.0,3.0
158,0.010771388157081674,37.54750188043584,1.5,119.0,95.0,9.0
159,0.00628318304734421,21.708365636889564,1.5,69.0,64.0,11.0
160,0.0004793450189026771,2.1887299097834285,1.5,7.0,5.0,5.0
161,0.004585138480251771,13.012165749387366,1.5,61.0,41.0,15.0
162,0.005892788651181036,21.972098197756356,1.5,85.0,69.0,7.0
163,0.005618714299998828,21.5687420200462,1.5,76.0,64.0,7.0
164,0.011991608231255668,32.34009252298494,1.5,116.0,94.0,17.0
165,0.0004025585858471459,2.3320169369586585,1.5,5.0,4.0,19.0
166,0.0024643883916724008,11.20212569827137,1.5,37.0,25.0,8.0
167,0.011151138891364099,32.540865524018,1.5,119.0,92.0,16.0
168,0.007345648811678984,30.008551816829744,1.5,105.0,74.0,12.0
169,0.0020652509829233168,9.03868160433418,1.5,33.0,24.0,3.0
170,0.009071823065823992,36.14903353984259,1.5,124.0,95.0,4.0
171,0.0013334990690054838,5.065712885381443,1.5,17.0,15.0,17.0
172,0.000829825676191831,4.240286489463923,1.5,12.0,11.0,17.0
173,0.0014004021031723823,6.779009793488948,1.5,21.0,19.0,13.0
174,0.003047129004698945,12.661301750031573,1.5,56.0,38.0,5.0
175,0.007888475687650498,27.179530289385017,1.5,87.0,75.0,16.0
176,0.0037944662835798226,11.196459221472237,1.5,46.0,35.0,6.0
177,0.0039202895986818476,15.04682915086388,1.5,58.0,39.0,6.0
178,0.004786607838468626,15.725708715712265,1.5,49.0,36.0,12.0
179,0.008333228797710035,30.877121364723777,1.5,111.0,75.0,8.0
180,0.009138345965766348,30.328681972936437,1.5,107.0,79.0,14.0
181,0.0051568552989920136,13.224286534491293,1.5,42.0,40.0,15.0
182,0.0020447239166969666,8.529138250289751,1.5,26.0,24.0,18.0
183,0.0017292152988375165,4.664448558382643,1.5,21.0,15.0,17.0
184,0.005356424002457061,18.6163925056286,1.5,53.0,43.0,4.0
185,0.0037062759220134467,16.778646629448385,1.5,62.0,45.0,11.0
186,0.006773551862352178,30.853694483135396,1.5,117.0,79.0,6.0
187,0.00529256201662065,18.09417606972466,1.5,60.0,51.0,10.0
188,0.003465272953690146,9.716950176864398,1.5,32.0,24.0,18.0
189,0.0023313425881497096,8.191600408575034,1.5,25.0,24.0,8.0
190,0.008714119921933161,32.354471164699675,1.5,111.0,76.0,6.0
191,0.009418882544196094,32.47374205846456,1.5,105.0,97.0,14.0
192,0.0011525567788339686,4.686380848428065,1.5,14.0,13.0,12.0
193,0.00885552860381722,20.301192866688737,1.5,73.0,60.0,10.0
194,0.006042560211426462,25.04010030381248,1.5,79.0,77.0,5.0
195,0.007900259743109928,27.6215989095759,1.5,101.0,73.0,12.0
196,0.00087620164231339,4.034211650756614,1.5,16.0,11.0,19.0
197,0.015926722933727433,41.23063779701865,1.5,145.0,99.0,10.0
198,0.004626192612704472,9.851401658362155,1.5,47.0,38.0,13.0
199,0.009190804026729893,23.02487442583626,1.5,75.0,73.0,17.0
200,0.0018147447444789577,8.36334379518727,1.5,32.0,26.0,3.0
201,0.0043829088608617894,10.910678631721959,1.5,41.0,35.0,15.0
202,0.00959450300433673,26.98530067719151,1.5,115.0,83.0,7.0
203,0.014130224471955444,32.4676553391701,1.5,117.0,87.0,17.0
204,0.007817011082806857,30.1837180206851,1.5,101.0,80.0,19.0
205,0.005030651851484436,12.39651417808295,1.5,40.0,39.0,13.0
206,0.0005899630996282212,1.695028751326173,1.5,6.0,4.0,16.0
207,0.0006690303198411129,4.371760385712241,1.5,12.0,8.0,18.0
208,0.004509112306550378,16.848640562678693,1.5,66.0,46.0,9.0
209,0.00035960379682364874,1.4772710291253066,1.5,4.0,3.0,9.0
210,0.008988954536107485,28.516373827076915,1.5,100.0,76.0,17.0
211,0.002749106406554347,11.238232405019248,1.5,37.0,31.0,9.0
212,0.008341591676071403,21.346108254835137,1.5,78.0,65.0,12.0
213,0.004345656034274725,16.731355972392528,1.5,55.0,45.0,18.0
214,0.006970839782297844,20.809769208574636,1.5,99.0,67.0,13.0
215,0.0052127345370536204,13.871427786869521,1.5,49.0,44.0,15.0
216,0.005904952839046018,23.11952715768864,1.5,67.0,65.0,19.0
217,0.0019014145800611004,7.914863676154654,1.5,27.0,25.0,19.0
218,0.007298132455616724,29.229854587392538,1.5,102.0,82.0,8.0
219,0.003849585258649313,18.791682879196657,1.5,55.0,52.0,4.0
220,0.006240608392545255,24.92734095507074,1.5,87.0,68.0,8.0
221,0.0017501224974694196,6.633064481084271,1.5,20.0,17.0,7.0
222,0.0061125042902858695,21.688373000124983,1.5,86.0,59.0,4.0
223,0.003265704252044088,12.103857245789099,1.5,38.0,35.0,17.0
224,0.0019736394460778683,11.055295283379138,1.5,42.0,28.0,4.0
225,0.0018451552132319193,12.247305725696727,1.5,38.0,27.0,2.0
226,0.0034375234026811086,14.747332343008127,1.5,54.0,40.0,12.0
227,0.004815497784875333,15.651646648139941,1.5,54.0,41.0,13.0
228,0.0037621551600750536,15.118024175741542,1.5,55.0,41.0,9.0
229,0.0006678899280814221,2.6610075817593826,1.5,12.0,9.0,4.0
230,0.0009602105619705981,2.3227533193955856,1.5,11.0,7.0,7.0
231,0.004707160487669171,14.57789244034763,1.5,64.0,45.0,13.0
