,price of fairness,viol_coeff,max_unfairness,no_items,no_pos,no_prop
0,0.0,1.1985062551366934,1.6649395783535588,29.0,19.0,3.0
1,3.2535325716485713e-16,1.1712888414717055,1.351850866744401,18.0,17.0,2.0
2,0.003985576414125613,1.1993486997573606,1.4740872408657872,16.0,15.0,2.0
3,2.4320067801199303e-16,1.1742116157888103,1.2417304364413826,25.0,18.0,2.0
4,1.0,1.1958224006645293,2.114456139518902,13.0,12.0,3.0
5,0.001443224878053818,1.162481296329563,1.70792361284951,16.0,12.0,4.0
6,0.022869739521516625,1.1963344714768709,1.5217756488548617,12.0,11.0,4.0
7,0.0028668874364179246,1.1680933680615015,1.3004429257062464,16.0,12.0,2.0
8,0.0007394843790357083,1.1830064591224574,1.3982242757980627,17.0,12.0,2.0
9,0.01105454087459801,1.1983164819198409,1.7893711256400902,14.0,11.0,4.0
10,0.0077508027402620324,1.1853318655226723,1.7926147076537418,28.0,19.0,4.0
11,0.0027592810745970917,1.1620473776320526,2.077713783884041,27.0,18.0,4.0
12,0.0,1.190201636492475,2.096221891581591,22.0,16.0,4.0
13,2.1226774946216046e-16,1.1926879944285023,1.4540893569877837,18.0,14.0,2.0
14,0.0,1.1806517592212409,1.6433296640842796,13.0,10.0,2.0
15,-2.0943590921395654e-16,1.1854051860120098,1.3163855842748702,16.0,11.0,2.0
16,0.0,1.1784872979712193,1.5025597405660822,25.0,18.0,3.0
17,0.020163649632818754,1.1801270458527093,1.8459829819350793,12.0,11.0,3.0
18,0.016327777493020522,1.1799969344810153,1.546075921415454,14.0,11.0,4.0
19,0.04255146401777451,1.182641231231634,1.896566240417122,17.0,13.0,3.0
20,1.421373024808493e-16,1.1507172488003163,1.844041754770674,14.0,11.0,2.0
21,0.00855437237165747,1.1841158933477764,1.441222367324441,21.0,17.0,3.0
22,0.006362395835762451,1.195249455195485,1.525333058504232,24.0,18.0,3.0
23,-1.6692499450700049e-16,1.1869653776298557,1.307202388709421,17.0,13.0,2.0
24,0.02134883861988425,1.1690163953433679,2.5364223963381045,13.0,10.0,3.0
25,0.020397572603589452,1.1746737055631138,1.6191127456546492,24.0,16.0,4.0
26,0.00405572311886672,1.1937081198374104,1.4810293458938906,20.0,15.0,2.0
27,0.03293609310025825,1.1610329831762203,1.973682131594331,16.0,13.0,2.0
28,0.0,1.1523075402310308,1.4596534751558454,24.0,18.0,2.0
