,value_factor,feas_ip,feas_greed,time_ip,time_greedy,viol_coeff
0,1.0139937290094878,1.0,1.0,0.901045135372442,0.0007002034471952356,1.145246913771385
1,1.0118864346467664,1.0,1.0,0.1807064680251642,0.00046566190121666295,1.1016321731867376
2,1.0029934009245203,1.0,1.0,0.047950251343536365,0.0004310698741392116,1.182791044590221
3,1.0,1.0,1.0,0.011257233915785037,0.0002889004454118549,1.1056348692751607
4,1.002514976279176,1.0,1.0,0.0752011659415075,0.0003831732219623518,1.1036177648480128
5,1.0,1.0,1.0,0.013134706674463814,0.00021629520142596448,1.1996424409725173
6,1.0074071127996798,1.0,1.0,0.04280060091332416,0.0002478461710779811,1.154999564466712
7,1.0,1.0,1.0,0.01931451527070749,0.0002474660395819228,1.1121829490368222
8,1.0,1.0,1.0,0.013306526412634412,0.00020907269026793074,1.1910295485668925
9,1.002146432923465,1.0,1.0,0.022923490038920136,0.000268753440650471,1.138385425450423
10,1.0091879911112025,1.0,1.0,0.0262412835691066,0.00021211374769336544,1.1111719942750322
11,1.0,1.0,1.0,0.023440469782144646,0.00033527656887599733,1.1083439115133986
12,1.0,1.0,1.0,0.024085934197501047,0.00030866731776768574,1.1114649280067215
13,1.0,1.0,1.0,0.029963537723233458,0.0004858089059780468,1.1329792605794409
14,1.0,1.0,1.0,0.031317188359935244,0.000301824939015205,1.1096467962642096
15,1.0096679061922784,1.0,1.0,0.041729768606273865,0.0003196911502527655,1.1440877472018374
16,1.0,1.0,1.0,0.03208771625759255,0.00032121167896548286,1.1840253760290655
17,1.0,1.0,1.0,0.013776369767583674,0.000235301809880184,1.1621524382523527
18,,1.0,0.0,0.3929810116378576,0.000639382300505531,1.1994284331674008
19,,1.0,0.0,0.04801563407545473,0.000334516304974386,1.1424414363398068
20,,1.0,0.0,0.15849610592613317,0.0004094023415746051,1.1559249214340734
21,1.0,1.0,1.0,0.01565574318919971,0.00027217462957196403,1.196152629482738
22,1.0,1.0,1.0,0.027231907990426407,0.0007317544168472523,1.1762468747483164
23,1.0025644365849045,1.0,1.0,0.049211529864805925,0.0004846685096708825,1.1951493595010612
24,1.0,1.0,1.0,0.016557796815504844,0.0002862395203919732,1.1690543385293632
25,1.0,1.0,1.0,0.01707477655781986,0.0003561838375389925,1.1633634330041456
26,1.0,1.0,1.0,0.020120775590839912,0.00024822630348353414,1.19779348603806
27,1.0,1.0,1.0,0.028404995849086845,0.00018474423177394783,1.125268241651366
28,1.0000799098981814,1.0,1.0,0.018874702356697526,0.00026343158970121294,1.1206811535746144
29,1.0,1.0,1.0,0.011839976522423967,0.00020032965039717965,1.1993660007284284
30,,1.0,0.0,0.20746777239492076,0.0006424233579309657,1.1040607815863652
31,,1.0,0.0,0.07564934176298266,0.0004249877592883422,1.1771733613488577
32,1.0023222490941885,1.0,1.0,0.023882183358182374,0.0010590482097541098,1.156948557361377
33,1.0,1.0,1.0,0.026852916222196654,0.000271414364760858,1.181768654504724
34,1.0,1.0,1.0,0.01367563474468625,0.00023454154597857269,1.1369598506140115
35,1.0,1.0,1.0,0.01759745828439918,0.000271794497166411,1.1048976796961243
36,,1.0,0.0,0.024527267640223727,0.0003550434412318282,1.1039150968337677
37,1.0124295780801171,1.0,1.0,0.04251436139293219,0.0002923216343333479,1.120512724881914
38,1.0,1.0,1.0,0.017008253429594333,0.0002626713257996016,1.1539803659744847
39,1.0,1.0,1.0,0.006855683584035432,0.0002136342764060828,1.112960264753878
40,1.0,1.0,1.0,0.01803004868725111,0.0002805375370371621,1.1811063308203176
41,1.0,1.0,1.0,0.011975683705713891,0.00022959982743486762,1.1374453135977103
42,1.0,1.0,1.0,0.023540444542049954,0.0003219719437765889,1.1849400731596247
