,value_factor,rho,p_val,no_items,no_pos,no_prop,p_bonferonni
0,0.991225875677768,0.7412587412587414,0.005801150474478243,14.0,12.0,4.0,5.801150474478243
1,1.0,1.0,0.0,18.0,14.0,3.0,0.0
2,0.9792944644657421,0.9727272727272729,5.14217704904919e-07,12.0,11.0,4.0,0.000514217704904919
3,0.998415182788449,0.7964285714285713,0.00038046767853463354,23.0,15.0,4.0,0.38046767853463354
4,0.9942508140352223,0.7552447552447553,0.004508435484294225,17.0,12.0,3.0,4.508435484294226
5,0.9993223052930216,0.990909090909091,3.762571807085399e-09,15.0,11.0,4.0,3.762571807085399e-06
6,0.999482901213393,0.901098901098901,2.613862202954826e-05,19.0,13.0,2.0,0.02613862202954826
7,0.9989625335652481,0.9560439560439561,3.365097276351456e-07,14.0,13.0,3.0,0.0003365097276351456
8,1.0006497075720437,0.9780219780219779,7.757814031393615e-09,14.0,13.0,2.0,7.757814031393615e-06
9,0.9941634158592922,0.9516483516483516,1.661613698567939e-07,17.0,14.0,4.0,0.0001661613698567939
10,1.0,1.0,0.0,22.0,19.0,2.0,0.0
11,0.9988608191927406,0.9731682146542827,1.2418823458351716e-11,22.0,18.0,3.0,1.2418823458351716e-08
12,0.9993702132486523,0.9789473684210527,3.6006418847130656e-13,26.0,19.0,3.0,3.600641884713066e-10
13,0.9987785218902852,1.0,0.0,14.0,11.0,2.0,0.0
14,1.003393548984089,0.9789473684210527,3.6006418847130656e-13,28.0,19.0,2.0,3.600641884713066e-10
15,0.9929898410464529,0.5824175824175823,0.036741334358654267,19.0,13.0,4.0,36.741334358654264
16,1.0,0.9999999999999999,6.646897422032013e-64,13.0,10.0,2.0,6.646897422032013e-61
17,1.009762270715547,0.9529411764705882,1.2096579348829016e-08,19.0,16.0,4.0,1.2096579348829016e-05
18,0.9992681716608269,0.9956043956043955,1.0315953358848785e-13,18.0,14.0,2.0,1.0315953358848785e-10
