,time,value,bound,no_items,no_pos,no_prop
0,3.1382846242797413,23.55953597670212,1.5,77.0,69.0,15.0
1,0.12164845699966609,7.633745790218992,1.5,28.0,24.0,6.0
2,0.07024222873855646,8.116128591730266,1.5,25.0,19.0,3.0
3,4.1200336494271,28.21221987070253,1.5,106.0,75.0,19.0
4,0.6550952728865145,13.867726712503575,1.5,45.0,38.0,13.0
5,1.0775951531444257,21.04036065265548,1.5,60.0,59.0,8.0
6,0.6406783256178876,12.674110707040839,1.5,44.0,41.0,18.0
7,3.6405608643325955,17.229979826859704,1.5,73.0,59.0,18.0
8,0.11370062349514853,5.054868060579181,1.5,21.0,14.0,19.0
9,0.06765351885880833,0.0,1.5,24.0,19.0,19.0
10,0.1613051355290338,6.918338353348357,1.5,20.0,18.0,15.0
11,0.5790442224633132,21.723291747814166,1.5,66.0,53.0,19.0
12,1.818581995199672,28.920251957086524,1.5,111.0,77.0,15.0
13,2.5581821098479693,23.52403330284447,1.5,78.0,54.0,15.0
14,0.10063999294472126,10.314745649585864,1.5,38.0,28.0,12.0
15,0.040154273424022335,5.771256608451235,1.5,17.0,15.0,14.0
16,0.0038359282520623594,1.0583679167929843,1.5,4.0,3.0,10.0
17,0.10496553328563962,0.0,1.5,12.0,10.0,14.0
18,1.8554887871989223,32.51191626971435,1.5,123.0,90.0,2.0
19,0.3090729529615075,16.974627546191062,1.5,55.0,43.0,11.0
20,2.4588858892123433,35.02557595817659,1.5,127.0,94.0,10.0
21,1.2965688380151832,25.029648693289577,1.5,76.0,65.0,11.0
22,1.9141912999581088,33.43997202655891,1.5,121.0,87.0,9.0
23,1.4504032077194502,28.987665171935213,1.5,106.0,87.0,6.0
24,1.2174520100324884,30.071046982578363,1.5,97.0,84.0,4.0
25,0.35483761832608707,18.93394159183345,1.5,57.0,53.0,11.0
26,3.7011819114182245,34.49952243316243,1.5,105.0,96.0,16.0
27,0.043469038497647716,4.624177339955466,1.5,21.0,14.0,7.0
28,0.048298255870975026,7.127780072850852,1.5,27.0,20.0,15.0
29,1.1524453614956585,22.789612795322768,1.5,76.0,65.0,18.0
30,1.7027644076339925,27.844023900051823,1.5,95.0,70.0,19.0
31,0.04108750143500828,7.977070805296644,1.5,29.0,21.0,6.0
32,0.5790993418366668,23.154989759465312,1.5,79.0,54.0,6.0
33,1.8435244619778928,34.98944487602399,1.5,119.0,94.0,4.0
34,0.31637075799401515,9.44341211081025,1.5,36.0,32.0,17.0
