,price of fairness,viol_coeff,max_unfairness,no_items,no_pos,no_prop
99,0.0038276444914683606,1.1221506405035355,1.0808342238930897,26.0,18.0,4.0
100,0.005567844146383482,1.1679986968419147,1.6033849449425415,13.0,11.0,2.0
101,0.021577115321147953,1.1536338726488518,1.0985612259228392,12.0,10.0,3.0
102,0.0093466084014202,1.1487646273974261,1.0446127536461318,20.0,16.0,3.0
103,0.0,1.1681742493896312,0.9529871764004166,21.0,14.0,2.0
104,0.008594191122215766,1.1017357951827917,1.0066036233308104,18.0,16.0,4.0
105,0.001299777550305646,1.188647294923531,1.1254793763595512,16.0,11.0,3.0
106,0.0017151618632392758,1.1227632535211818,1.0764988834898968,21.0,18.0,3.0
107,0.02186949806698281,1.1099170326466308,1.068234936236782,20.0,17.0,4.0
108,0.0,1.186024116336731,1.0305777599343946,14.0,13.0,4.0
109,0.0032441219595553228,1.1949738620863115,0.9805024942347593,19.0,18.0,4.0
110,0.0,1.1843128538989744,0.8509630802824008,20.0,18.0,2.0
111,0.003427189352260642,1.168452127070216,1.1204654874730724,14.0,13.0,4.0
112,1.2854784327489408e-16,1.152212265924244,0.9142210989457337,12.0,10.0,2.0
113,-1.6593565870408194e-16,1.1787447032546279,0.976767078831902,21.0,19.0,2.0
114,1.519400948650496e-16,1.1401671389911991,1.0276249333693641,19.0,15.0,2.0
115,0.03670844007636737,1.165057395094173,1.14017793817872,24.0,16.0,2.0
116,0.0032935749941423857,1.1746769091991505,1.093989002429445,20.0,14.0,4.0
117,1.2575172156002722e-16,1.1409399214444047,1.1664517433849098,21.0,15.0,2.0
118,0.00680724276279208,1.161706398000313,1.0396603518767895,28.0,19.0,3.0
119,0.0005289874480887531,1.1233368904880154,0.9247253796944326,22.0,17.0,2.0
120,0.0015746231401732183,1.1326101631002146,0.9346471354695665,18.0,12.0,2.0
121,0.0,1.1331084363579664,1.2706342936671629,17.0,14.0,3.0
122,0.004219861042952132,1.1112461575690014,1.1421390122520452,18.0,14.0,4.0
123,1.372710321096271e-16,1.1949343067909344,1.2298104576878932,19.0,15.0,3.0
124,0.0,1.1002218095748273,0.9413232319937727,16.0,14.0,2.0
125,0.0,1.187668794219851,0.8709394877984343,12.0,11.0,3.0
126,0.0,1.1554785539861343,0.9703650595940448,13.0,10.0,3.0
127,4.064030915201665e-16,1.1654556499345752,0.9806436360042063,19.0,13.0,2.0
128,0.008569116601418977,1.135647417062058,1.0428813270698745,15.0,10.0,3.0
129,1.5571019434526432e-16,1.14289203675491,0.9925582186862039,19.0,18.0,2.0
130,0.014209417818383446,1.109258022765643,1.2600921774219638,24.0,19.0,4.0
131,-2.2816664587156413e-16,1.1017445963982135,1.773947953059294,15.0,12.0,4.0
132,0.010497397805461486,1.137079781166088,1.2732413197645844,20.0,14.0,4.0
133,0.011954777106152652,1.1776885348403752,0.9793796288524077,16.0,11.0,3.0
134,-1.3163534121075344e-16,1.1260619110040693,0.9184594316638764,21.0,19.0,2.0
135,0.0002463602249682185,1.129592967605575,0.9610360075603813,21.0,16.0,4.0
136,0.02011459869574117,1.179854436835324,1.2590027698988213,15.0,11.0,2.0
137,3.352325104007798e-16,1.1797206096920358,1.206916810041515,14.0,11.0,4.0
138,-1.225027788300063e-16,1.1796245450827094,1.1120764025154397,21.0,19.0,4.0
139,-1.6495377626373558e-16,1.1817570076377484,0.904023429148047,23.0,17.0,2.0
140,0.0,1.1722114609511636,0.9512509402604749,15.0,14.0,2.0
141,0.0012356118913841197,1.1562454022053548,0.9809457887522662,14.0,13.0,3.0
142,-2.0477477636309127e-16,1.157761601357955,1.246939203874811,18.0,12.0,2.0
143,0.004487267724795613,1.1124343495291373,0.9752172531884881,19.0,17.0,2.0
144,0.0,1.1396171342422203,1.0109813716994054,20.0,13.0,2.0
145,0.008069762444693105,1.1090760553609926,1.170159624567436,24.0,16.0,4.0
146,0.016184197335444066,1.1521421458420715,1.2375510936896381,18.0,17.0,4.0
147,0.02427227222270312,1.181905299628601,1.1993796028620372,22.0,16.0,4.0
148,0.010609802589578766,1.1805724447796806,1.5907921994593952,15.0,11.0,4.0
149,0.004887345676205803,1.149602671443516,1.0528137104262694,20.0,17.0,4.0
150,0.0,1.1509217341919613,0.9586033284957938,20.0,17.0,2.0
151,0.02475603057190623,1.179035226480246,1.1372916039887755,21.0,14.0,4.0
152,0.0005550953644232097,1.1153942228430824,1.2680776068390223,18.0,17.0,4.0
153,1.9674474151701862e-16,1.1350586494808925,0.9303761563336262,12.0,11.0,2.0
154,1.2423153057174804e-16,1.181436127440079,1.107425365229573,24.0,16.0,2.0
155,0.007887293644662792,1.1084875412024278,1.0443266652421417,13.0,12.0,2.0
156,0.0014951549446880381,1.1078741150099625,1.128439920457852,23.0,15.0,3.0
157,-3.269981905050404e-16,1.1182131731619678,0.9541436408689584,25.0,18.0,2.0
158,0.0012537431415353285,1.1016134340626533,1.007661250980693,19.0,15.0,3.0
159,5.307979314187203e-05,1.1964212429640362,1.0727132237619303,28.0,19.0,2.0
160,0.007323351750037371,1.160295163794262,1.5666972936086427,13.0,10.0,3.0
161,0.0,1.1715603615827002,1.2089213482974712,19.0,16.0,4.0
