,price,ratio_unfair,ratio_fair,max_unfair_unfair,max_unfair_fair,approx_quality
629,0.00014944808972493478,2.0083553559419305,1.9940680410368061,1.206201947783378,1.1976211022591194,1.0066592425353615
630,-1.2264535076891478e-16,inf,inf,0.0,0.0,1.0
631,0.021196266028695832,1.7770016194407858,1.393009746311491,1.4259000741740628,1.1918887711454127,1.0032033631986512
632,2.6793770886533397e-16,1.3901042621451831,1.3901042621451831,1.1467184855524728,1.1467184855524728,1.0
633,0.008404387866430583,1.5502458665757175,1.2449883984815109,1.501637053587176,1.1525240141144315,1.0
634,0.008107080930816817,1.9328642074663382,1.584123634531315,1.4749641779052163,1.1955137457146492,1.0133847700252285
635,-2.0073401400612975e-16,1.3916079963326966,1.3916079963326966,1.0504770935884584,1.0504770935884584,1.0
636,0.0002660663408919059,1.404368509999717,1.3819399876673042,1.2205987243483256,1.197360293085634,1.0009883761991145
637,0.022928411592545533,2.3276822974270375,1.5765222042827574,1.4072606453470182,1.1978627093244423,1.014065994778081
638,-1.3473984356293946e-16,inf,inf,0.0,0.0,1.0
639,0.0,inf,inf,0.0,0.0,1.0
640,0.006981984256986594,1.9897864180867801,1.4789160578417915,1.5429760621755286,1.1911454148884009,1.0097052761871192
641,0.007569591128744843,1.8660982676670492,1.504798303042178,1.5465459544587847,1.1953621070964042,1.0052614767603378
642,0.00633451739391714,0.7681023314664225,0.959242497104637,1.4901594368341469,1.1945148220743647,1.0042971563387277
643,-4.283547554758519e-16,1.8830051720605212,1.8830051720605212,1.1005223074657848,1.1005223074657848,1.0
644,0.002329208601658897,1.4626084310565053,1.2308129582156133,1.2583749955871877,1.058946617547147,1.0
645,0.004210555988067772,2.3537309717074706,1.9374169697077244,1.3196715502948475,1.1965831259479895,1.0057599849129435
646,0.0,1.726724153507038,1.726724153507038,1.187438612367487,1.187438612367487,1.0
647,0.00010124264492709937,1.3091168783715443,1.3029445753985052,1.199946015880297,1.1974893446747665,1.0005123998078753
648,-1.8973175824084958e-16,1.4045160144285234,1.4045160144285234,1.050323300687983,1.050323300687983,1.0
649,0.0,0.9648472879572447,0.9648472879572447,1.1612285780554383,1.1612285780554383,1.0
650,-2.1529604000613844e-16,1.945529143769009,1.945529143769009,1.0612299935296108,1.0612299935296108,1.0
651,-1.8724531679332432e-16,0.7845534494696772,0.7845534494696772,1.1337962256055931,1.1337962256055931,1.0
652,0.004294012175154848,1.4432368935912399,1.3169306861082308,1.3616442905688613,1.1896670676651198,1.0127797191114336
653,0.001916817884894616,1.8441673872193616,1.667669365741971,1.290190470249113,1.195315692159697,1.0075371939045334
654,0.0,0.8205236472498113,0.8205236472498113,0.9199333776529501,0.9199333776529501,1.0
655,0.00478047224229261,1.5192250007856885,1.367701545532922,1.2644771826293622,1.1974728128071395,1.0131860781373825
656,1.4560072061486847e-16,1.1264744975328367,1.1264744975328367,1.1821147865586712,1.1821147865586712,1.0
657,2.7087141257050976e-16,1.8274117190151302,1.8274117190151302,1.1011526057398935,1.1011526057398935,1.0
658,2.0704980417644062e-16,1.7354685084237023,1.7354685084237023,1.0174105205524304,1.0174105205524304,1.0
659,0.0,1.4410713139546036,1.4410713139546036,1.122466022412475,1.122466022412475,1.0
660,0.0,1.7000010605103744,1.7000010605103744,1.1329597190957534,1.1329597190957534,1.0
661,0.000938747925875922,1.8162387400929632,1.727670408547542,1.237547448169845,1.1967207306960013,1.0032707314080784
662,0.019678055828955106,2.05705881840392,1.7404077457200209,1.4072307416120986,1.1970656231293824,1.0076512176651702
663,0.031545865828077925,2.4635780604095094,1.5508311438502347,1.5671310271513708,1.1965594404331032,1.0349129775687953
664,0.004280148539253879,1.726899496452526,1.5741707790519592,1.2650213164796076,1.197878691500708,1.014238150658713
665,0.004973673439888025,2.508808721063223,1.6576619252521154,1.4588795472636185,1.196790284903271,1.0570730553676326
666,0.010938546806504933,1.926501017257014,1.3533160828737496,1.42178241101214,1.1978499852488376,1.0084158999821715
